year,month,day,dep_time,sched_dep_time,dep_delay,arr_time,sched_arr_time,arr_delay,carrier,flight,tailnum,origin,dest,air_time,distance,hour,minute,time_hour
2013,1,1,615,615,0,833,842,-9,DL,575,N326NB,EWR,ATL,120,746,6,15,2013-01-01T11:00:00Z
2013,1,1,627,630,-3,1018,1018,0,US,27,N535UW,JFK,PHX,330,2153,6,30,2013-01-01T11:00:00Z
2013,1,1,645,647,-2,815,810,5,B6,102,N796JB,JFK,BUF,63,301,6,47,2013-01-01T11:00:00Z
2013,1,1,653,700,-7,936,1009,-33,DL,1383,N327NW,LGA,PBI,149,1035,7,0,2013-01-01T12:00:00Z
2013,1,1,657,700,-3,959,1013,-14,DL,1879,N318NB,LGA,FLL,164,1076,7,0,2013-01-01T12:00:00Z
2013,1,1,659,705,-6,907,913,-6,DL,831,N998DL,LGA,DTW,105,502,7,5,2013-01-01T12:00:00Z
2013,1,1,659,700,-1,959,1008,-9,UA,960,N838UA,EWR,RSW,164,1068,7,0,2013-01-01T12:00:00Z
2013,1,1,809,815,-6,1043,1050,-7,EV,4388,N14542,EWR,JAX,132,820,8,15,2013-01-01T13:00:00Z
2013,1,1,811,815,-4,1006,1032,-26,EV,4260,N11193,EWR,CHS,101,628,8,15,2013-01-01T13:00:00Z
2013,1,1,811,630,101,1047,830,137,MQ,4576,N531MQ,LGA,CLT,118,544,6,30,2013-01-01T11:00:00Z
2013,1,1,832,840,-8,1006,1030,-24,MQ,4521,N725MQ,LGA,RDU,77,431,8,40,2013-01-01T13:00:00Z
2013,1,1,840,845,-5,1311,1350,-39,AA,1357,N5FSAA,JFK,SJU,188,1598,8,45,2013-01-01T13:00:00Z
2013,1,1,851,851,0,1032,1036,-4,EV,4548,N19966,EWR,RDU,75,416,8,51,2013-01-01T13:00:00Z
2013,1,1,855,859,-4,1143,1145,-2,DL,1747,N646DL,LGA,ATL,129,762,8,59,2013-01-01T13:00:00Z
2013,1,1,856,900,-4,1222,1232,-10,DL,2143,N970DL,LGA,MIA,158,1096,9,0,2013-01-01T14:00:00Z
2013,1,1,857,851,6,1157,1222,-25,UA,1670,N45440,EWR,SEA,343,2402,8,51,2013-01-01T13:00:00Z
2013,1,1,905,905,0,1309,1229,40,B6,1061,N281JB,JFK,AUS,263,1521,9,5,2013-01-01T14:00:00Z
2013,1,1,908,915,-7,1004,1033,-29,US,1467,N959UW,LGA,PHL,32,96,9,15,2013-01-01T14:00:00Z
2013,1,1,927,930,-3,1231,1257,-26,DL,1335,N951DL,LGA,RSW,166,1080,9,30,2013-01-01T14:00:00Z
2013,1,1,940,955,-15,1226,1220,6,MQ,4654,N525MQ,LGA,ATL,129,762,9,55,2013-01-01T14:00:00Z
2013,1,1,1024,1029,-5,1140,1150,-10,EV,4709,N14905,EWR,BUF,59,282,10,29,2013-01-01T15:00:00Z
2013,1,1,1031,1030,1,1353,1415,-22,VX,23,N625VA,JFK,SFO,363,2586,10,30,2013-01-01T15:00:00Z
2013,1,1,1059,1053,6,1342,1351,-9,UA,369,N451UA,EWR,LAS,325,2227,10,53,2013-01-01T15:00:00Z
2013,1,1,1112,1100,12,1440,1438,2,UA,285,N517UA,JFK,SFO,364,2586,11,0,2013-01-01T16:00:00Z
2013,1,1,1120,1125,-5,1330,1325,5,WN,1057,N469WN,LGA,STL,176,888,11,25,2013-01-01T16:00:00Z
2013,1,1,1137,1140,-3,1445,1451,-6,DL,2175,N999DN,LGA,PBI,153,1035,11,40,2013-01-01T16:00:00Z
2013,1,1,1154,1200,-6,1253,1306,-13,B6,1174,N206JB,EWR,BOS,40,200,12,0,2013-01-01T17:00:00Z
2013,1,1,1155,1200,-5,1441,1440,1,DL,1947,N904DL,LGA,ATL,133,762,12,0,2013-01-01T17:00:00Z
2013,1,1,1204,1200,4,1500,1448,12,B6,523,N612JB,EWR,MCO,139,937,12,0,2013-01-01T17:00:00Z
2013,1,1,1205,1200,5,1503,1505,-2,UA,1461,N39418,EWR,IAH,221,1400,12,0,2013-01-01T17:00:00Z
2013,1,1,1208,1158,10,1540,1502,38,B6,625,N239JB,JFK,HOU,253,1428,11,58,2013-01-01T16:00:00Z
2013,1,1,1253,1212,41,1524,1436,48,UA,754,N576UA,EWR,DEN,252,1605,12,12,2013-01-01T17:00:00Z
2013,1,1,1306,1300,6,1622,1610,12,WN,2596,N773SA,EWR,HOU,239,1411,13,0,2013-01-01T18:00:00Z
2013,1,1,1330,1321,9,1613,1536,37,EV,3849,N14558,EWR,IND,149,645,13,21,2013-01-01T18:00:00Z
2013,1,1,1343,1330,13,1658,1640,18,AA,753,N3CFAA,LGA,DFW,235,1389,13,30,2013-01-01T18:00:00Z
2013,1,1,1356,1354,2,1537,1526,11,UA,617,N840UA,LGA,ORD,146,733,13,54,2013-01-01T18:00:00Z
2013,1,1,1356,1350,6,1659,1640,19,UA,1258,N26906,EWR,IAH,218,1400,13,50,2013-01-01T18:00:00Z
2013,1,1,1400,1400,0,1634,1636,-2,DL,2247,N6704Z,LGA,ATL,130,762,14,0,2013-01-01T19:00:00Z
2013,1,1,1453,1450,3,1707,1645,22,MQ,4172,N610MQ,JFK,CLE,99,425,14,50,2013-01-01T19:00:00Z
2013,1,1,1455,1457,-2,1731,1730,1,B6,119,N279JB,JFK,MSY,192,1182,14,57,2013-01-01T19:00:00Z
2013,1,1,1455,1500,-5,1753,1810,-17,DL,1997,N997DL,LGA,PBI,152,1035,15,0,2013-01-01T20:00:00Z
2013,1,1,1457,1500,-3,1758,1815,-17,UA,379,N401UA,EWR,RSW,166,1068,15,0,2013-01-01T20:00:00Z
2013,1,1,1506,1505,1,1838,1820,18,AA,759,N3DUAA,LGA,DFW,248,1389,15,5,2013-01-01T20:00:00Z
2013,1,1,1507,1515,-8,1651,1656,-5,9E,3792,N8631E,JFK,ROC,66,264,15,15,2013-01-01T20:00:00Z
2013,1,1,1515,1437,38,1834,1742,52,B6,347,N178JB,JFK,SRQ,171,1041,14,37,2013-01-01T19:00:00Z
2013,1,1,1523,1516,7,1831,1828,3,UA,1600,N18112,EWR,LAX,337,2454,15,16,2013-01-01T20:00:00Z
2013,1,1,1525,1530,-5,1934,1805,NA,MQ,4525,N719MQ,LGA,XNA,NA,1147,15,30,2013-01-01T20:00:00Z
2013,1,1,1531,1459,32,1745,1658,47,EV,4572,N15912,EWR,GSP,106,594,14,59,2013-01-01T19:00:00Z
2013,1,1,1604,1510,54,1817,1710,67,MQ,4579,N0EGMQ,LGA,CLT,106,544,15,10,2013-01-01T20:00:00Z
2013,1,1,1632,1635,-3,1903,1840,23,WN,190,N258WN,LGA,STL,181,888,16,35,2013-01-01T21:00:00Z
2013,1,1,1654,1644,10,1752,1753,-1,EV,4539,N27962,EWR,MHT,38,209,16,44,2013-01-01T21:00:00Z
2013,1,1,1657,1630,27,1948,1926,22,UA,1609,N17105,EWR,MCO,148,937,16,30,2013-01-01T21:00:00Z
2013,1,1,1711,1600,71,2005,1857,68,B6,369,N579JB,LGA,PBI,149,1035,16,0,2013-01-01T21:00:00Z
2013,1,1,1753,1745,8,2058,2037,21,B6,391,N630JB,LGA,MCO,144,950,17,45,2013-01-01T22:00:00Z
2013,1,1,1815,1805,10,1928,1920,8,WN,731,N266WN,LGA,BWI,46,185,18,5,2013-01-01T23:00:00Z
2013,1,1,1823,1830,-7,2036,2055,-19,DL,924,N337NW,JFK,MSP,158,1029,18,30,2013-01-01T23:00:00Z
2013,1,1,1826,1830,-4,2154,2207,-13,DL,1643,N3772H,JFK,SEA,334,2422,18,30,2013-01-01T23:00:00Z
2013,1,1,1854,1830,24,2055,2015,40,MQ,4674,N518MQ,LGA,CLE,87,419,18,30,2013-01-01T23:00:00Z
2013,1,1,1856,1645,131,2212,2005,127,AA,181,N323AA,JFK,LAX,336,2475,16,45,2013-01-01T21:00:00Z
2013,1,1,1909,1912,-3,2239,2237,2,B6,87,N559JB,JFK,SLC,291,1990,19,12,2013-01-02T00:00:00Z
2013,1,1,1910,1910,0,2126,2107,19,9E,3359,N925XJ,JFK,ORD,141,740,19,10,2013-01-02T00:00:00Z
2013,1,1,1949,1859,50,2237,2153,44,B6,711,N640JB,JFK,LAS,309,2248,18,59,2013-01-01T23:00:00Z
2013,1,1,1952,2000,-8,2314,2325,-11,VX,415,N640VA,JFK,LAX,349,2475,20,0,2013-01-02T01:00:00Z
2013,1,1,1957,1945,12,2307,2329,-22,B6,645,N652JB,JFK,SFO,337,2586,19,45,2013-01-02T00:00:00Z
2013,1,1,2000,2000,0,2054,2110,-16,9E,3664,N836AY,JFK,PHL,30,94,20,0,2013-01-02T01:00:00Z
2013,1,1,2030,2030,0,2308,2258,10,B6,115,N267JB,JFK,MSY,195,1182,20,30,2013-01-02T01:00:00Z
2013,1,1,2046,2035,11,2144,2213,-29,9E,3357,N916XJ,JFK,DCA,43,213,20,35,2013-01-02T01:00:00Z
2013,1,1,2058,2100,-2,8,2359,9,UA,1241,N27724,EWR,TPA,159,997,21,0,2013-01-02T02:00:00Z
2013,1,1,2109,2115,-6,2351,2357,-6,B6,529,N796JB,EWR,MCO,138,937,21,15,2013-01-02T02:00:00Z
2013,1,1,2211,2145,26,2339,2311,28,B6,104,N228JB,JFK,BUF,64,301,21,45,2013-01-02T02:00:00Z
2013,1,1,NA,1935,NA,NA,2240,NA,AA,791,N3EHAA,LGA,DFW,NA,1389,19,35,2013-01-02T00:00:00Z
2013,1,2,126,2250,156,233,2359,154,B6,22,N636JB,JFK,SYR,49,209,22,50,2013-01-03T03:00:00Z
2013,1,2,512,515,-3,809,819,-10,UA,1453,N76515,EWR,IAH,214,1400,5,15,2013-01-02T10:00:00Z
2013,1,2,554,600,-6,841,851,-10,B6,49,N658JB,JFK,PBI,146,1028,6,0,2013-01-02T11:00:00Z
2013,1,2,600,605,-5,751,818,-27,EV,5147,N760EV,EWR,MSP,155,1008,6,5,2013-01-02T11:00:00Z
2013,1,2,606,610,-4,846,845,1,DL,1743,N387DA,JFK,ATL,129,760,6,10,2013-01-02T11:00:00Z
2013,1,2,606,610,-4,825,820,5,DL,1919,N915DE,LGA,MSP,167,1020,6,10,2013-01-02T11:00:00Z
2013,1,2,616,600,16,1001,917,44,UA,1141,N19141,JFK,LAX,354,2475,6,0,2013-01-02T11:00:00Z
2013,1,2,622,630,-8,820,830,-10,MQ,4599,N6EAMQ,LGA,MSP,159,1020,6,30,2013-01-02T11:00:00Z
2013,1,2,700,700,0,1017,1015,2,AA,2279,N3JJAA,LGA,MIA,163,1096,7,0,2013-01-02T12:00:00Z
2013,1,2,704,700,4,1142,1154,-12,UA,1152,N37456,EWR,SJU,194,1608,7,0,2013-01-02T12:00:00Z
2013,1,2,715,721,-6,1013,1012,1,B6,987,N625JB,JFK,MCO,144,944,7,21,2013-01-02T12:00:00Z
2013,1,2,723,713,10,846,849,-3,UA,393,N529UA,EWR,ORD,114,719,7,13,2013-01-02T12:00:00Z
2013,1,2,734,700,34,1045,1025,20,WN,20,N485WN,EWR,HOU,235,1411,7,0,2013-01-02T12:00:00Z
2013,1,2,738,745,-7,926,930,-4,AA,309,N528AA,LGA,ORD,121,733,7,45,2013-01-02T12:00:00Z
2013,1,2,741,743,-2,932,920,12,EV,4348,N14542,EWR,GSO,94,445,7,43,2013-01-02T12:00:00Z
2013,1,2,741,740,1,1005,1019,-14,UA,328,N533UA,LGA,DEN,220,1620,7,40,2013-01-02T12:00:00Z
2013,1,2,743,745,-2,858,857,1,9E,3373,N902XJ,JFK,PHL,30,94,7,45,2013-01-02T12:00:00Z
2013,1,2,752,745,7,1055,1042,13,UA,251,N430UA,EWR,IAH,215,1400,7,45,2013-01-02T12:00:00Z
2013,1,2,809,810,-1,950,948,2,B6,1051,N304JB,JFK,PIT,71,340,8,10,2013-01-02T13:00:00Z
